name,name_lower,firstinitial_lower,firstname_lower,lastname_lower,position_description,position_description_cleaned,value,birth_date,birth_year,birth_month,age,playing_country
Thibaut Courtois,thibaut courtois,t,thibaut,courtois,Goalkeeper,Goalkeeper,54000000.0,1992-05-11,1992,5,28,Belgium
Andriy Lunin,andriy lunin,a,andriy,lunin,Goalkeeper,Goalkeeper,2430000.0,1999-02-11,1999,2,21,Ukraine
Diego Altube,diego altube,d,diego,altube,Goalkeeper,Goalkeeper,90000.0,2000-02-22,2000,2,20,Spain
Marc-André ter Stegen,marc-andre ter stegen,m,marc-andre,stegen,Goalkeeper,Goalkeeper,64800000.0,1992-04-30,1992,4,28,Germany
Neto,neto,n,neto,neto,Goalkeeper,Goalkeeper,13050000.0,1989-07-19,1989,7,31,Brazil
Iñaki Peña,inaki pena,i,inaki,pena,Goalkeeper,Goalkeeper,2070000.0,1999-03-02,1999,3,21,Spain
Jan Oblak,jan oblak,j,jan,oblak,Goalkeeper,Goalkeeper,72000000.0,1993-01-07,1993,1,27,Slovenia
Ivo Grbic,ivo grbic,i,ivo,grbic,Goalkeeper,Goalkeeper,1800000.0,1996-01-18,1996,1,24,Croatia
Tomas Vaclík,tomas vaclik,t,tomas,vaclik,Goalkeeper,Goalkeeper,13050000.0,1989-03-29,1989,3,31,Czech Republic
Sergio Rico,sergio rico,s,sergio,rico,Goalkeeper,Goalkeeper,7200000.0,1993-09-01,1993,9,26,Spain
Juan Soriano,juan soriano,j,juan,soriano,Goalkeeper,Goalkeeper,1440000.0,1997-08-23,1997,8,23,Spain
Javi Díaz,javi diaz,j,javi,diaz,Goalkeeper,Goalkeeper,360000.0,1997-05-15,1997,5,23,Spain
Álex Remiro,alex remiro,a,alex,remiro,Goalkeeper,Goalkeeper,10800000.0,1995-03-24,1995,3,25,Spain
Gerónimo Rulli,geronimo rulli,g,geronimo,rulli,Goalkeeper,Goalkeeper,7200000.0,1992-05-20,1992,5,28,Argentina
Miguel Ángel Moyá,miguel angel moya,m,miguel,moya,Goalkeeper,Goalkeeper,1080000.0,1984-04-02,1984,4,36,Spain
Jasper Cillessen,jasper cillessen,j,jasper,cillessen,Goalkeeper,Goalkeeper,10800000.0,1989-04-22,1989,4,31,Netherlands
Jaume Doménech,jaume domenech,j,jaume,domenech,Goalkeeper,Goalkeeper,5400000.0,1990-11-05,1990,11,29,Spain
Sergio Asenjo,sergio asenjo,s,sergio,asenjo,Goalkeeper,Goalkeeper,8550000.0,1989-06-28,1989,6,31,Spain
Joel Robles,joel robles,j,joel,robles,Goalkeeper,Goalkeeper,5400000.0,1990-06-17,1990,6,30,Spain
Dani Martín,dani martin,d,dani,martin,Goalkeeper,Goalkeeper,3600000.0,1998-07-08,1998,7,22,Spain
Unai Simón,unai simon,u,unai,simon,Goalkeeper,Goalkeeper,27000000.0,1997-06-11,1997,6,23,Spain
Iago Herrerín,iago herrerin,i,iago,herrerin,Goalkeeper,Goalkeeper,2520000.0,1988-01-25,1988,1,32,Spain
Jokin Ezkieta,jokin ezkieta,j,jokin,ezkieta,Goalkeeper,Goalkeeper,270000.0,1996-08-17,1996,8,24,Spain
David Soria,david soria,d,david,soria,Goalkeeper,Goalkeeper,13050000.0,1993-04-04,1993,4,27,Spain
Leandro Chichizola,leandro chichizola,l,leandro,chichizola,Goalkeeper,Goalkeeper,1080000.0,1990-03-27,1990,3,30,Argentina
Rubén Yáñez,ruben yanez,r,ruben,yanez,Goalkeeper,Goalkeeper,270000.0,1993-10-12,1993,10,26,Spain
Filip Manojlovic,filip manojlovic,f,filip,manojlovic,Goalkeeper,Goalkeeper,180000.0,1996-04-25,1996,4,24,Serbia
Rubén Blanco,ruben blanco,r,ruben,blanco,Goalkeeper,Goalkeeper,7200000.0,1995-07-25,1995,7,25,Spain
Sergio Álvarez,sergio alvarez,s,sergio,alvarez,Goalkeeper,Goalkeeper,1080000.0,1986-08-03,1986,8,34,Spain
Iván Villar,ivan villar,i,ivan,villar,Goalkeeper,Goalkeeper,270000.0,1997-07-09,1997,7,23,Spain
Aitor Fernández,aitor fernandez,a,aitor,fernandez,Goalkeeper,Goalkeeper,9000000.0,1991-05-03,1991,5,29,Spain
Koke Vegas,koke vegas,k,koke,vegas,Goalkeeper,Goalkeeper,495000.0,1995-09-27,1995,9,24,Spain
Dani Cárdenas,dani cardenas,d,dani,cardenas,Goalkeeper,Goalkeeper,180000.0,1997-03-28,1997,3,23,Spain
Fernando Pacheco,fernando pacheco,f,fernando,pacheco,Goalkeeper,Goalkeeper,13050000.0,1992-05-18,1992,5,28,Spain
Antonio Sivera,antonio sivera,a,antonio,sivera,Goalkeeper,Goalkeeper,1080000.0,1996-08-11,1996,8,24,Spain
Rui Silva,rui silva,r,rui,silva,Goalkeeper,Goalkeeper,9000000.0,1994-02-07,1994,2,26,Portugal
Aarón Escandell,aaron escandell,a,aaron,escandell,Goalkeeper,Goalkeeper,900000.0,1995-09-27,1995,9,24,Spain
Sergio Herrera,sergio herrera,s,sergio,herrera,Goalkeeper,Goalkeeper,1080000.0,1993-06-05,1993,6,27,Spain
Rubén Martínez,ruben martinez,r,ruben,martinez,Goalkeeper,Goalkeeper,495000.0,1984-06-22,1984,6,36,Spain
Juan Pérez,juan perez,j,juan,perez,Goalkeeper,Goalkeeper,360000.0,1996-07-15,1996,7,24,Spain
Jordi Masip,jordi masip,j,jordi,masip,Goalkeeper,Goalkeeper,4320000.0,1989-01-03,1989,1,31,Spain
Roberto,roberto,r,roberto,roberto,Goalkeeper,Goalkeeper,720000.0,1986-02-10,1986,2,34,Spain
Marko Dmitrovic,marko dmitrovic,m,marko,dmitrovic,Goalkeeper,Goalkeeper,8550000.0,1992-01-24,1992,1,28,Serbia
Yoel Rodríguez,yoel rodriguez,y,yoel,rodriguez,Goalkeeper,Goalkeeper,1080000.0,1988-08-28,1988,8,32,Spain
Jeremías Ledesma,jeremias ledesma,j,jeremias,ledesma,Goalkeeper,Goalkeeper,990000.0,1993-02-13,1993,2,27,Argentina
Dani Sotres,dani sotres,d,dani,sotres,Goalkeeper,Goalkeeper,225000.0,1993-05-21,1993,5,27,Spain
Alberto Cifuentes,alberto cifuentes,a,alberto,cifuentes,Goalkeeper,Goalkeeper,90000.0,1979-05-29,1979,5,41,Spain
David Gil,david gil,d,david,gil,Goalkeeper,Goalkeeper,90000.0,1994-01-11,1994,1,26,Spain
Álvaro Fernández,alvaro fernandez,a,alvaro,fernandez,Goalkeeper,Goalkeeper,2700000.0,1998-04-13,1998,4,22,Spain
Andrés Fernández,andres fernandez,a,andres,fernandez,Goalkeeper,Goalkeeper,720000.0,1986-12-17,1986,12,33,Spain
Aleksandar Jovanovic,aleksandar jovanovic,a,aleksandar,jovanovic,Goalkeeper,Goalkeeper,495000.0,1992-12-06,1992,12,27,Serbia
Antonio Valera,antonio valera,a,antonio,valera,Goalkeeper,Goalkeeper,180000.0,1996-08-17,1996,8,24,Spain
Edgar Badia,edgar badia,e,edgar,badia,Goalkeeper,Goalkeeper,720000.0,1992-02-12,1992,2,28,Spain
Alphonse Areola,alphonse areola,a,alphonse,areola,Goalkeeper,Goalkeeper,11700000.0,1993-02-27,1993,2,27,France
Keylor Navas,keylor navas,k,keylor,navas,Goalkeeper,Goalkeeper,7200000.0,1986-12-15,1986,12,33,Costa Rica
Marcin Bulka,marcin bulka,m,marcin,bulka,Goalkeeper,Goalkeeper,810000.0,1999-10-04,1999,10,20,Poland
Denis Franchi,denis franchi,d,denis,franchi,Goalkeeper,Goalkeeper,225000.0,2002-10-22,2002,10,17,Italy
Garissone Innocent,garissone innocent,g,garissone,innocent,Goalkeeper,Goalkeeper,135000.0,2000-04-16,2000,4,20,France
Anthony Lopes,anthony lopes,a,anthony,lopes,Goalkeeper,Goalkeeper,15750000.0,1990-10-01,1990,10,29,Portugal
Ciprian Tatarusanu,ciprian tatarusanu,c,ciprian,tatarusanu,Goalkeeper,Goalkeeper,1080000.0,1986-02-09,1986,2,34,Romania
Anthony Racioppi,anthony racioppi,a,anthony,racioppi,Goalkeeper,Goalkeeper,405000.0,1998-12-31,1998,12,21,Switzerland
Benjamin Lecomte,benjamin lecomte,b,benjamin,lecomte,Goalkeeper,Goalkeeper,9900000.0,1991-04-26,1991,4,29,France
Radoslaw Majecki,radoslaw majecki,r,radoslaw,majecki,Goalkeeper,Goalkeeper,4050000.0,1999-11-16,1999,11,20,Poland
Loïc Badiashile,loic badiashile,l,loic,badiashile,Goalkeeper,Goalkeeper,563000.0,1998-02-05,1998,2,22,France
Mike Maignan,mike maignan,m,mike,maignan,Goalkeeper,Goalkeeper,15750000.0,1995-07-03,1995,7,25,France
Léo Jardim,leo jardim,l,leo,jardim,Goalkeeper,Goalkeeper,2880000.0,1995-03-20,1995,3,25,Brazil
Lucas Chevalier,lucas chevalier,l,lucas,chevalier,Goalkeeper,Goalkeeper,270000.0,2001-11-06,2001,11,18,France
Steve Mandanda,steve mandanda,s,steve,mandanda,Goalkeeper,Goalkeeper,2160000.0,1985-03-28,1985,3,35,France
Yohann Pelé,yohann pele,y,yohann,pele,Goalkeeper,Goalkeeper,225000.0,1982-11-04,1982,11,37,France
Ahmadou Dia,ahmadou dia,a,ahmadou,dia,Goalkeeper,Goalkeeper,225000.0,1999-10-13,1999,10,20,France
Simon Ngapandouetnbu,simon ngapandouetnbu,s,simon,ngapandouetnbu,Goalkeeper,Goalkeeper,135000.0,2003-04-12,2003,4,17,Cameroon
Edouard Mendy,edouard mendy,e,edouard,mendy,Goalkeeper,Goalkeeper,6300000.0,1992-03-01,1992,3,28,Senegal
Pépé Bonet,pepe bonet,p,pepe,bonet,Goalkeeper,Goalkeeper,270000.0,2003-02-13,2003,2,17,DR Congo
Romain Salin,romain salin,r,romain,salin,Goalkeeper,Goalkeeper,180000.0,1984-07-29,1984,7,36,France
Walter Benítez,walter benitez,w,walter,benitez,Goalkeeper,Goalkeeper,7200000.0,1993-01-19,1993,1,27,Argentina
Yoan Cardinale,yoan cardinale,y,yoan,cardinale,Goalkeeper,Goalkeeper,585000.0,1994-03-27,1994,3,26,France
Teddy Boulhendi,teddy boulhendi,t,teddy,boulhendi,Goalkeeper,Goalkeeper,135000.0,2001-04-09,2001,4,19,France
Benoît Costil,benoit costil,b,benoit,costil,Goalkeeper,Goalkeeper,3150000.0,1987-07-03,1987,7,33,France
Gaëtan Poussin,gaetan poussin,g,gaetan,poussin,Goalkeeper,Goalkeeper,810000.0,1999-01-13,1999,1,21,France
Over Mandanda,over mandanda,o,over,mandanda,Goalkeeper,Goalkeeper,90000.0,1998-10-26,1998,10,21,France
Alban Lafont,alban lafont,a,alban,lafont,Goalkeeper,Goalkeeper,9900000.0,1999-01-23,1999,1,21,France
Denis Petric,denis petric,d,denis,petric,Goalkeeper,Goalkeeper,225000.0,1988-05-24,1988,5,32,Serbia
Charly Jan,charly jan,c,charly,jan,Goalkeeper,Goalkeeper,135000.0,1999-05-27,1999,5,21,France
Stéphane Ruffier,stephane ruffier,s,stephane,ruffier,Goalkeeper,Goalkeeper,2160000.0,1986-09-27,1986,9,33,France
Stefan Bajic,stefan bajic,s,stefan,bajic,Goalkeeper,Goalkeeper,450000.0,2001-12-23,2001,12,18,France
Jessy Moulin,jessy moulin,j,jessy,moulin,Goalkeeper,Goalkeeper,450000.0,1986-01-13,1986,1,34,France
Alexis Guendouz,alexis guendouz,a,alexis,guendouz,Goalkeeper,Goalkeeper,270000.0,1996-01-26,1996,1,24,France
Jonas Omlin,jonas omlin,j,jonas,omlin,Goalkeeper,Goalkeeper,4320000.0,1994-01-10,1994,1,26,Switzerland
Dimitry Bertaud,dimitry bertaud,d,dimitry,bertaud,Goalkeeper,Goalkeeper,810000.0,1998-06-06,1998,6,22,France
Matis Carvalho,matis carvalho,m,matis,carvalho,Goalkeeper,Goalkeeper,180000.0,1999-04-28,1999,4,21,Portugal
Matz Sels,matz sels,m,matz,sels,Goalkeeper,Goalkeeper,5850000.0,1992-02-26,1992,2,28,Belgium
Bingourou Kamara,bingourou kamara,b,bingourou,kamara,Goalkeeper,Goalkeeper,1080000.0,1996-10-21,1996,10,23,France
Eiji Kawashima,eiji kawashima,e,eiji,kawashima,Goalkeeper,Goalkeeper,135000.0,1983-03-20,1983,3,37,Japan
Paul Bernardoni,paul bernardoni,p,paul,bernardoni,Goalkeeper,Goalkeeper,6300000.0,1997-04-18,1997,4,23,France
Danijel Petkovic,danijel petkovic,d,danijel,petkovic,Goalkeeper,Goalkeeper,653000.0,1993-05-25,1993,5,27,Montenegro
Ludovic Butelle,ludovic butelle,l,ludovic,butelle,Goalkeeper,Goalkeeper,225000.0,1983-04-03,1983,4,37,France
Predrag Rajkovic,predrag rajkovic,p,predrag,rajkovic,Goalkeeper,Goalkeeper,7200000.0,1995-10-31,1995,10,24,Serbia
Yehvann Diouf,yehvann diouf,y,yehvann,diouf,Goalkeeper,Goalkeeper,315000.0,1999-11-16,1999,11,20,France
Alexandre Oukidja,alexandre oukidja,a,alexandre,oukidja,Goalkeeper,Goalkeeper,2700000.0,1988-07-19,1988,7,32,Algeria
Marc-Aurèle Caillard,marc-aurele caillard,m,marc-aurele,caillard,Goalkeeper,Goalkeeper,1080000.0,1994-05-12,1994,5,26,France
Paul Delecroix,paul delecroix,p,paul,delecroix,Goalkeeper,Goalkeeper,360000.0,1988-10-14,1988,10,31,France
Gautier Larsonneur,gautier larsonneur,g,gautier,larsonneur,Goalkeeper,Goalkeeper,5850000.0,1997-02-23,1997,2,23,France
Sébastien Cibois,sebastien cibois,s,sebastien,cibois,Goalkeeper,Goalkeeper,225000.0,1998-03-02,1998,3,22,France
Wuilker Fariñez,wuilker farinez,w,wuilker,farinez,Goalkeeper,Goalkeeper,4050000.0,1998-02-15,1998,2,22,Venezuela
Jean-Louis Leca,jean-louis leca,j,jean-louis,leca,Goalkeeper,Goalkeeper,1170000.0,1985-09-21,1985,9,34,France
Didier Desprez,didier desprez,d,didier,desprez,Goalkeeper,Goalkeeper,270000.0,1999-09-13,1999,9,20,France
Baptiste Reynet,baptiste reynet,b,baptiste,reynet,Goalkeeper,Goalkeeper,2160000.0,1990-10-28,1990,10,29,France
Lucas Dias,lucas dias,l,lucas,dias,Goalkeeper,Goalkeeper,563000.0,1999-05-22,1999,5,21,France
Alfred Gomis,alfred gomis,a,alfred,gomis,Goalkeeper,Goalkeeper,2160000.0,1993-09-05,1993,9,26,Senegal
Rúnar Alex Rúnarsson,runar alex runarsson,r,runar,runarsson,Goalkeeper,Goalkeeper,1080000.0,1995-02-18,1995,2,25,Iceland
Lévi Ntumba,levi ntumba,l,levi,ntumba,Goalkeeper,Goalkeeper,270000.0,2001-01-12,2001,1,19,France
Paul Nardi,paul nardi,p,paul,nardi,Goalkeeper,Goalkeeper,1800000.0,1994-05-18,1994,5,26,France
Matthieu Dreyer,matthieu dreyer,m,matthieu,dreyer,Goalkeeper,Goalkeeper,360000.0,1989-03-20,1989,3,31,France
Teddy Bartouche,teddy bartouche,t,teddy,bartouche,Goalkeeper,Goalkeeper,135000.0,1997-06-05,1997,6,23,France
Ederson,ederson,e,ederson,ederson,Goalkeeper,Goalkeeper,50400000.0,1993-08-17,1993,8,27,Brazil
Zack Steffen,zack steffen,z,zack,steffen,Goalkeeper,Goalkeeper,5400000.0,1995-04-02,1995,4,25,United States
Arijanet Muric,arijanet muric,a,arijanet,muric,Goalkeeper,Goalkeeper,1620000.0,1998-11-07,1998,11,21,Kosovo
Scott Carson,scott carson,s,scott,carson,Goalkeeper,Goalkeeper,720000.0,1985-09-03,1985,9,34,England
Alisson,alisson,a,alisson,alisson,Goalkeeper,Goalkeeper,64800000.0,1992-10-02,1992,10,27,Brazil
Adrián,adrian,a,adrian,adrian,Goalkeeper,Goalkeeper,3600000.0,1987-01-03,1987,1,33,Spain
Loris Karius,loris karius,l,loris,karius,Goalkeeper,Goalkeeper,2880000.0,1993-06-22,1993,6,27,Germany
Caoimhin Kelleher,caoimhin kelleher,c,caoimhin,kelleher,Goalkeeper,Goalkeeper,810000.0,1998-11-23,1998,11,21,Ireland
Kepa,kepa,k,kepa,kepa,Goalkeeper,Goalkeeper,25200000.0,1994-10-03,1994,10,25,Spain
Willy Caballero,willy caballero,w,willy,caballero,Goalkeeper,Goalkeeper,540000.0,1981-09-28,1981,9,38,Argentina
David de Gea,david de gea,d,david,gea,Goalkeeper,Goalkeeper,36000000.0,1990-11-07,1990,11,29,Spain
Dean Henderson,dean henderson,d,dean,henderson,Goalkeeper,Goalkeeper,18000000.0,1997-03-12,1997,3,23,England
Sergio Romero,sergio romero,s,sergio,romero,Goalkeeper,Goalkeeper,2520000.0,1987-02-22,1987,2,33,Argentina
Lee Grant,lee grant,l,lee,grant,Goalkeeper,Goalkeeper,540000.0,1983-01-27,1983,1,37,England
Hugo Lloris,hugo lloris,h,hugo,lloris,Goalkeeper,Goalkeeper,13050000.0,1986-12-26,1986,12,33,France
Paulo Gazzaniga,paulo gazzaniga,p,paulo,gazzaniga,Goalkeeper,Goalkeeper,2520000.0,1992-01-02,1992,1,28,Argentina
Joe Hart,joe hart,j,joe,hart,Goalkeeper,Goalkeeper,2160000.0,1987-04-19,1987,4,33,England
Alfie Whiteman,alfie whiteman,a,alfie,whiteman,Goalkeeper,Goalkeeper,675000.0,1998-10-02,1998,10,21,England
Bernd Leno,bernd leno,b,bernd,leno,Goalkeeper,Goalkeeper,28800000.0,1992-03-04,1992,3,28,Germany
Emiliano Martínez,emiliano martinez,e,emiliano,martinez,Goalkeeper,Goalkeeper,7200000.0,1992-09-02,1992,9,27,Argentina
Dejan Iliev,dejan iliev,d,dejan,iliev,Goalkeeper,Goalkeeper,270000.0,1995-02-25,1995,2,25,North Macedonia
Matt Macey,matt macey,m,matt,macey,Goalkeeper,Goalkeeper,225000.0,1994-09-09,1994,9,25,England
Kasper Schmeichel,kasper schmeichel,k,kasper,schmeichel,Goalkeeper,Goalkeeper,8550000.0,1986-11-05,1986,11,33,Denmark
Danny Ward,danny ward,d,danny,ward,Goalkeeper,Goalkeeper,5850000.0,1993-06-22,1993,6,27,Wales
Eldin Jakupovic,eldin jakupovic,e,eldin,jakupovic,Goalkeeper,Goalkeeper,540000.0,1984-10-02,1984,10,35,Switzerland
Jordan Pickford,jordan pickford,j,jordan,pickford,Goalkeeper,Goalkeeper,25200000.0,1994-03-07,1994,3,26,England
Jonas Lössl,jonas lossl,j,jonas,lossl,Goalkeeper,Goalkeeper,2880000.0,1989-02-01,1989,2,31,Denmark
João Virgínia,joao virginia,j,joao,virginia,Goalkeeper,Goalkeeper,135000.0,1999-10-10,1999,10,20,Portugal
Rui Patrício,rui patricio,r,rui,patricio,Goalkeeper,Goalkeeper,14400000.0,1988-02-15,1988,2,32,Portugal
John Ruddy,john ruddy,j,john,ruddy,Goalkeeper,Goalkeeper,1800000.0,1986-10-24,1986,10,33,England
Matija Sarkic,matija sarkic,m,matija,sarkic,Goalkeeper,Goalkeeper,90000.0,1997-07-23,1997,7,23,Montenegro
Lukasz Fabianski,lukasz fabianski,l,lukasz,fabianski,Goalkeeper,Goalkeeper,2880000.0,1985-04-18,1985,4,35,Poland
Darren Randolph,darren randolph,d,darren,randolph,Goalkeeper,Goalkeeper,2520000.0,1987-05-12,1987,5,33,Ireland
David Martin,david martin,d,david,martin,Goalkeeper,Goalkeeper,225000.0,1986-01-22,1986,1,34,England
Tom Heaton,tom heaton,t,tom,heaton,Goalkeeper,Goalkeeper,4320000.0,1986-04-15,1986,4,34,England
Lovre Kalinic,lovre kalinic,l,lovre,kalinic,Goalkeeper,Goalkeeper,2520000.0,1990-04-03,1990,4,30,Croatia
Jed Steer,jed steer,j,jed,steer,Goalkeeper,Goalkeeper,1080000.0,1992-09-23,1992,9,27,England
Örjan Nyland,orjan nyland,o,orjan,nyland,Goalkeeper,Goalkeeper,1080000.0,1990-09-10,1990,9,29,Norway
Martin Dubravka,martin dubravka,m,martin,dubravka,Goalkeeper,Goalkeeper,6750000.0,1989-01-15,1989,1,31,Slovakia
Karl Darlow,karl darlow,k,karl,darlow,Goalkeeper,Goalkeeper,2160000.0,1990-10-08,1990,10,29,England
Mark Gillespie,mark gillespie,m,mark,gillespie,Goalkeeper,Goalkeeper,360000.0,1992-03-27,1992,3,28,England
Alex McCarthy,alex mccarthy,a,alex,mccarthy,Goalkeeper,Goalkeeper,5850000.0,1989-12-03,1989,12,30,England
Fraser Forster,fraser forster,f,fraser,forster,Goalkeeper,Goalkeeper,5850000.0,1988-03-17,1988,3,32,England
Angus Gunn,angus gunn,a,angus,gunn,Goalkeeper,Goalkeeper,4500000.0,1996-01-22,1996,1,24,England
