name,name_lower,firstinitial_lower,firstname_lower,lastname_lower,position_description,position_description_cleaned,value,birth_date,birth_year,birth_month,age,playing_country
Thibaut Courtois,thibaut courtois,t,thibaut,courtois,Goalkeeper,Goalkeeper,54000000.0,1992-05-11,1992,5,28,Belgium
Andriy Lunin,andriy lunin,a,andriy,lunin,Goalkeeper,Goalkeeper,2430000.0,1999-02-11,1999,2,21,Ukraine
Diego Altube,diego altube,d,diego,altube,Goalkeeper,Goalkeeper,90000.0,2000-02-22,2000,2,20,Spain
Raphaël Varane,raphael varane,r,raphael,varane,Centre-Back,Defender,57600000.0,1993-04-25,1993,4,27,France
Éder Militão,eder militao,e,eder,militao,Centre-Back,Defender,32400000.0,1998-01-18,1998,1,22,Brazil
Sergio Ramos,sergio ramos,s,sergio,ramos,Centre-Back,Defender,13050000.0,1986-03-30,1986,3,34,Spain
Nacho Fernández,nacho fernandez,n,nacho,fernandez,Centre-Back,Defender,10800000.0,1990-01-18,1990,1,30,Spain
Ferland Mendy,ferland mendy,f,ferland,mendy,Left-Back,Defender,36000000.0,1995-06-08,1995,6,25,France
Sergio Reguilón,sergio reguilon,s,sergio,reguilon,Left-Back,Defender,22500000.0,1996-12-16,1996,12,23,Spain
Marcelo,marcelo,m,marcelo,marcelo,Left-Back,Defender,14400000.0,1988-05-12,1988,5,32,Brazil
Achraf Hakimi,achraf hakimi,a,achraf,hakimi,Right-Back,Defender,48600000.0,1998-11-04,1998,11,21,Morocco
Daniel Carvajal,daniel carvajal,d,daniel,carvajal,Right-Back,Defender,36000000.0,1992-01-11,1992,1,28,Spain
Álvaro Odriozola,alvaro odriozola,a,alvaro,odriozola,Right-Back,Defender,14400000.0,1995-12-14,1995,12,24,Spain
Casemiro,casemiro,c,casemiro,casemiro,Defensive Midfield,Midfielder,57600000.0,1992-02-23,1992,2,28,Brazil
Federico Valverde,federico valverde,f,federico,valverde,Central Midfield,Midfielder,48600000.0,1998-07-22,1998,7,22,Uruguay
Toni Kroos,toni kroos,t,toni,kroos,Central Midfield,Midfielder,43200000.0,1990-01-04,1990,1,30,Germany
Dani Ceballos,dani ceballos,d,dani,ceballos,Central Midfield,Midfielder,28800000.0,1996-08-07,1996,8,24,Spain
Luka Modric,luka modric,l,luka,modric,Central Midfield,Midfielder,10800000.0,1985-09-09,1985,9,34,Croatia
Martin Ödegaard,martin odegaard,m,martin,odegaard,Attacking Midfield,Midfielder,40500000.0,1998-12-17,1998,12,21,Norway
Isco,isco,i,isco,isco,Attacking Midfield,Midfielder,36000000.0,1992-04-21,1992,4,28,Spain
James Rodríguez,james rodriguez,j,james,rodriguez,Attacking Midfield,Midfielder,28800000.0,1991-07-12,1991,7,29,Colombia
Brahim Díaz,brahim diaz,b,brahim,diaz,Attacking Midfield,Midfielder,12150000.0,1999-08-03,1999,8,21,Spain
Eden Hazard,eden hazard,e,eden,hazard,Left Winger,Forward,72000000.0,1991-01-07,1991,1,29,Belgium
Vinícius Júnior,vinicius junior,v,vinicius,junior,Left Winger,Forward,40500000.0,2000-07-12,2000,7,20,Brazil
Marco Asensio,marco asensio,m,marco,asensio,Left Winger,Forward,36000000.0,1996-01-21,1996,1,24,Spain
Rodrygo,rodrygo,r,rodrygo,rodrygo,Right Winger,Forward,40500000.0,2001-01-09,2001,1,19,Brazil
Gareth Bale,gareth bale,g,gareth,bale,Right Winger,Forward,25200000.0,1989-07-16,1989,7,31,Wales
Lucas Vázquez,lucas vazquez,l,lucas,vazquez,Right Winger,Forward,14400000.0,1991-07-01,1991,7,29,Spain
Alberto Soro,alberto soro,a,alberto,soro,Right Winger,Forward,2430000.0,1999-03-09,1999,3,21,Spain
Karim Benzema,karim benzema,k,karim,benzema,Centre-Forward,Forward,28800000.0,1987-12-19,1987,12,32,France
Luka Jovic,luka jovic,l,luka,jovic,Centre-Forward,Forward,28800000.0,1997-12-23,1997,12,22,Serbia
Mariano Díaz,mariano diaz,m,mariano,diaz,Centre-Forward,Forward,11700000.0,1993-08-01,1993,8,27,Spain
Borja Mayoral,borja mayoral,b,borja,mayoral,Centre-Forward,Forward,9000000.0,1997-04-05,1997,4,23,Spain
Marc-André ter Stegen,marc-andre ter stegen,m,marc-andre,stegen,Goalkeeper,Goalkeeper,64800000.0,1992-04-30,1992,4,28,Germany
Neto,neto,n,neto,neto,Goalkeeper,Goalkeeper,13050000.0,1989-07-19,1989,7,31,Brazil
Iñaki Peña,inaki pena,i,inaki,pena,Goalkeeper,Goalkeeper,2070000.0,1999-03-02,1999,3,21,Spain
Clément Lenglet,clement lenglet,c,clement,lenglet,Centre-Back,Defender,43200000.0,1995-06-17,1995,6,25,France
Samuel Umtiti,samuel umtiti,s,samuel,umtiti,Centre-Back,Defender,28800000.0,1993-11-14,1993,11,26,France
Gerard Piqué,gerard pique,g,gerard,pique,Centre-Back,Defender,18000000.0,1987-02-02,1987,2,33,Spain
Jean-Clair Todibo,jean-clair todibo,j,jean-clair,todibo,Centre-Back,Defender,12600000.0,1999-12-30,1999,12,20,France
Ronald Araújo,ronald araujo,r,ronald,araujo,Centre-Back,Defender,9000000.0,1999-03-07,1999,3,21,Uruguay
Jordi Alba,jordi alba,j,jordi,alba,Left-Back,Defender,36000000.0,1989-03-21,1989,3,31,Spain
Júnior Firpo,junior firpo,j,junior,firpo,Left-Back,Defender,18000000.0,1996-08-22,1996,8,24,Spain
Juan Miranda,juan miranda,j,juan,miranda,Left-Back,Defender,3600000.0,2000-01-19,2000,1,20,Spain
Nélson Semedo,nelson semedo,n,nelson,semedo,Right-Back,Defender,36000000.0,1993-11-16,1993,11,26,Portugal
Sergi Roberto,sergi roberto,s,sergi,roberto,Right-Back,Defender,36000000.0,1992-02-07,1992,2,28,Spain
Moussa Wagué,moussa wague,m,moussa,wague,Right-Back,Defender,6030000.0,1998-10-04,1998,10,21,Senegal
Sergio Busquets,sergio busquets,s,sergio,busquets,Defensive Midfield,Midfielder,25200000.0,1988-07-16,1988,7,32,Spain
Matheus Fernandes,matheus fernandes,m,matheus,fernandes,Defensive Midfield,Midfielder,2880000.0,1998-06-30,1998,6,22,Brazil
Oriol Busquets,oriol busquets,o,oriol,busquets,Defensive Midfield,Midfielder,2070000.0,1999-01-20,1999,1,21,Spain
Frenkie de Jong,frenkie de jong,f,frenkie,jong,Central Midfield,Midfielder,64800000.0,1997-05-12,1997,5,23,Netherlands
Arthur,arthur,a,arthur,arthur,Central Midfield,Midfielder,50400000.0,1996-08-12,1996,8,24,Brazil
Riqui Puig,riqui puig,r,riqui,puig,Central Midfield,Midfielder,22500000.0,1999-08-13,1999,8,21,Spain
Ivan Rakitic,ivan rakitic,i,ivan,rakitic,Central Midfield,Midfielder,18000000.0,1988-03-10,1988,3,32,Croatia
Carles Aleñá,carles alena,c,carles,alena,Central Midfield,Midfielder,16200000.0,1998-01-05,1998,1,22,Spain
Arturo Vidal,arturo vidal,a,arturo,vidal,Central Midfield,Midfielder,9900000.0,1987-05-22,1987,5,33,Chile
Rafinha,rafinha,r,rafinha,rafinha,Attacking Midfield,Midfielder,8550000.0,1993-02-12,1993,2,27,Brazil
Ansu Fati,ansu fati,a,ansu,fati,Left Winger,Forward,45000000.0,2002-10-31,2002,10,17,Spain
Pedri,pedri,p,pedri,pedri,Left Winger,Forward,6480000.0,2002-11-25,2002,11,17,Spain
Lionel Messi,lionel messi,l,lionel,messi,Right Winger,Forward,100800000.0,1987-06-24,1987,6,33,Argentina
Ousmane Dembélé,ousmane dembele,o,ousmane,dembele,Right Winger,Forward,50400000.0,1997-05-15,1997,5,23,France
Trincão,trincao,t,trincao,trincao,Right Winger,Forward,22500000.0,1999-12-29,1999,12,20,Portugal
Antoine Griezmann,antoine griezmann,a,antoine,griezmann,Second Striker,Forward,86400000.0,1991-03-21,1991,3,29,France
Luis Suárez,luis suarez,l,luis,suarez,Centre-Forward,Forward,25200000.0,1987-01-24,1987,1,33,Uruguay
Martin Braithwaite,martin braithwaite,m,martin,braithwaite,Centre-Forward,Forward,8550000.0,1991-06-05,1991,6,29,Denmark
Jan Oblak,jan oblak,j,jan,oblak,Goalkeeper,Goalkeeper,72000000.0,1993-01-07,1993,1,27,Slovenia
Ivo Grbic,ivo grbic,i,ivo,grbic,Goalkeeper,Goalkeeper,1800000.0,1996-01-18,1996,1,24,Croatia
José Giménez,jose gimenez,j,jose,gimenez,Centre-Back,Defender,50400000.0,1995-01-20,1995,1,25,Uruguay
Stefan Savic,stefan savic,s,stefan,savic,Centre-Back,Defender,22950000.0,1991-01-08,1991,1,29,Montenegro
Felipe,felipe,f,felipe,felipe,Centre-Back,Defender,22950000.0,1989-05-16,1989,5,31,Brazil
Mario Hermoso,mario hermoso,m,mario,hermoso,Centre-Back,Defender,18000000.0,1995-06-18,1995,6,25,Spain
Nehuén Pérez,nehuen perez,n,nehuen,perez,Centre-Back,Defender,6750000.0,2000-06-24,2000,6,20,Argentina
Francisco Montero,francisco montero,f,francisco,montero,Centre-Back,Defender,6030000.0,1999-01-14,1999,1,21,Spain
Renan Lodi,renan lodi,r,renan,lodi,Left-Back,Defender,45000000.0,1998-04-08,1998,4,22,Brazil
Manu Sánchez,manu sanchez,m,manu,sanchez,Left-Back,Defender,7200000.0,2000-08-24,2000,8,20,Spain
Kieran Trippier,kieran trippier,k,kieran,trippier,Right-Back,Defender,25200000.0,1990-09-19,1990,9,29,England
Santiago Arias,santiago arias,s,santiago,arias,Right-Back,Defender,10800000.0,1992-01-13,1992,1,28,Colombia
Sime Vrsaljko,sime vrsaljko,s,sime,vrsaljko,Right-Back,Defender,10800000.0,1992-01-10,1992,1,28,Croatia
Thomas,thomas,t,thomas,thomas,Defensive Midfield,Midfielder,36000000.0,1993-06-13,1993,6,27,Ghana
Saúl Ñíguez,saul niguez,s,saul,niguez,Central Midfield,Midfielder,64800000.0,1994-11-21,1994,11,25,Spain
Koke,koke,k,koke,koke,Central Midfield,Midfielder,43200000.0,1992-01-08,1992,1,28,Spain
Héctor Herrera,hector herrera,h,hector,herrera,Central Midfield,Midfielder,14400000.0,1990-04-19,1990,4,30,Mexico
Toni Moya,toni moya,t,toni,moya,Central Midfield,Midfielder,270000.0,1998-03-20,1998,3,22,Spain
Marcos Llorente,marcos llorente,m,marcos,llorente,Attacking Midfield,Midfielder,36000000.0,1995-01-30,1995,1,25,Spain
Thomas Lemar,thomas lemar,t,thomas,lemar,Left Winger,Forward,21600000.0,1995-11-12,1995,11,24,France
Vitolo,vitolo,v,vitolo,vitolo,Left Winger,Forward,13050000.0,1989-11-02,1989,11,30,Spain
Ángel Correa,angel correa,a,angel,correa,Right Winger,Forward,28800000.0,1995-03-09,1995,3,25,Argentina
Víctor Mollejo,victor mollejo,v,victor,mollejo,Right Winger,Forward,3600000.0,2001-01-21,2001,1,19,Spain
Rodrigo Riquelme,rodrigo riquelme,r,rodrigo,riquelme,Right Winger,Forward,2070000.0,2000-04-02,2000,4,20,Spain
Germán Valera,german valera,g,german,valera,Right Winger,Forward,1620000.0,2002-03-16,2002,3,18,Spain
João Félix,joao felix,j,joao,felix,Second Striker,Forward,72900000.0,1999-11-10,1999,11,20,Portugal
Álvaro Morata,alvaro morata,a,alvaro,morata,Centre-Forward,Forward,32400000.0,1992-10-23,1992,10,27,Spain
Diego Costa,diego costa,d,diego,costa,Centre-Forward,Forward,13050000.0,1988-10-07,1988,10,31,Spain
Sergio Camello,sergio camello,s,sergio,camello,Centre-Forward,Forward,2070000.0,2001-02-10,2001,2,19,Spain
Ivan Saponjic,ivan saponjic,i,ivan,saponjic,Centre-Forward,Forward,1080000.0,1997-08-02,1997,8,23,Serbia
Tomas Vaclík,tomas vaclik,t,tomas,vaclik,Goalkeeper,Goalkeeper,13050000.0,1989-03-29,1989,3,31,Czech Republic
Sergio Rico,sergio rico,s,sergio,rico,Goalkeeper,Goalkeeper,7200000.0,1993-09-01,1993,9,26,Spain
Juan Soriano,juan soriano,j,juan,soriano,Goalkeeper,Goalkeeper,1440000.0,1997-08-23,1997,8,23,Spain
Javi Díaz,javi diaz,j,javi,diaz,Goalkeeper,Goalkeeper,360000.0,1997-05-15,1997,5,23,Spain
Diego Carlos,diego carlos,d,diego,carlos,Centre-Back,Defender,45000000.0,1993-03-15,1993,3,27,Brazil
Jules Koundé,jules kounde,j,jules,kounde,Centre-Back,Defender,27000000.0,1998-11-12,1998,11,21,France
Joris Gnagnon,joris gnagnon,j,joris,gnagnon,Centre-Back,Defender,4320000.0,1997-01-13,1997,1,23,France
Sergi Gómez,sergi gomez,s,sergi,gomez,Centre-Back,Defender,3600000.0,1992-03-28,1992,3,28,Spain
Sergio Escudero,sergio escudero,s,sergio,escudero,Left-Back,Defender,4320000.0,1989-09-02,1989,9,30,Spain
Alejandro Pozo,alejandro pozo,a,alejandro,pozo,Right-Back,Defender,4050000.0,1999-02-22,1999,2,21,Spain
Jesús Navas,jesus navas,j,jesus,navas,Right-Back,Defender,2880000.0,1985-11-21,1985,11,34,Spain
Sébastien Corchia,sebastien corchia,s,sebastien,corchia,Right-Back,Defender,1440000.0,1990-11-01,1990,11,29,France
Fernando Reges,fernando reges,f,fernando,reges,Defensive Midfield,Midfielder,7200000.0,1987-07-25,1987,7,33,Brazil
Ibrahim Amadou,ibrahim amadou,i,ibrahim,amadou,Defensive Midfield,Midfielder,4950000.0,1993-04-06,1993,4,27,France
Nemanja Gudelj,nemanja gudelj,n,nemanja,gudelj,Defensive Midfield,Midfielder,4950000.0,1991-11-16,1991,11,28,Serbia
Joan Jordán,joan jordan,j,joan,jordan,Central Midfield,Midfielder,13050000.0,1994-07-06,1994,7,26,Spain
Óliver Torres,oliver torres,o,oliver,torres,Central Midfield,Midfielder,12150000.0,1994-11-10,1994,11,25,Spain
Éver Banega,ever banega,e,ever,banega,Central Midfield,Midfielder,6300000.0,1988-06-29,1988,6,32,Argentina
Roque Mesa,roque mesa,r,roque,mesa,Central Midfield,Midfielder,4950000.0,1989-06-07,1989,6,31,Spain
Óscar Rodríguez,oscar rodriguez,o,oscar,rodriguez,Attacking Midfield,Midfielder,13500000.0,1998-06-28,1998,6,22,Spain
Franco Vázquez,franco vazquez,f,franco,vazquez,Attacking Midfield,Midfielder,8550000.0,1989-02-22,1989,2,31,Argentina
Bryan Gil,bryan gil,b,bryan,gil,Left Winger,Forward,8100000.0,2001-02-11,2001,2,19,Spain
Lucas Ocampos,lucas ocampos,l,lucas,ocampos,Right Winger,Forward,45000000.0,1994-07-11,1994,7,26,Argentina
Suso,suso,s,suso,suso,Right Winger,Forward,15750000.0,1993-11-19,1993,11,26,Spain
Munir El Haddadi,munir el haddadi,m,munir,haddadi,Right Winger,Forward,8100000.0,1995-09-01,1995,9,24,Spain
Aleix Vidal,aleix vidal,a,aleix,vidal,Right Winger,Forward,3150000.0,1989-08-21,1989,8,31,Spain
Youssef En-Nesyri,youssef en-nesyri,y,youssef,en-nesyri,Centre-Forward,Forward,10800000.0,1997-06-01,1997,6,23,Morocco
Carlos Fernández,carlos fernandez,c,carlos,fernandez,Centre-Forward,Forward,9000000.0,1996-05-22,1996,5,24,Spain
Luuk de Jong,luuk de jong,l,luuk,jong,Centre-Forward,Forward,8550000.0,1990-08-27,1990,8,30,Netherlands
Marc Gual,marc gual,m,marc,gual,Centre-Forward,Forward,990000.0,1996-03-13,1996,3,24,Spain
Álex Remiro,alex remiro,a,alex,remiro,Goalkeeper,Goalkeeper,10800000.0,1995-03-24,1995,3,25,Spain
Gerónimo Rulli,geronimo rulli,g,geronimo,rulli,Goalkeeper,Goalkeeper,7200000.0,1992-05-20,1992,5,28,Argentina
Miguel Ángel Moyá,miguel angel moya,m,miguel,moya,Goalkeeper,Goalkeeper,1080000.0,1984-04-02,1984,4,36,Spain
Diego Llorente,diego llorente,d,diego,llorente,Centre-Back,Defender,18000000.0,1993-08-16,1993,8,27,Spain
Robin Le Normand,robin le normand,r,robin,normand,Centre-Back,Defender,10800000.0,1996-11-11,1996,11,23,France
Aritz Elustondo,aritz elustondo,a,aritz,elustondo,Centre-Back,Defender,7200000.0,1994-03-28,1994,3,26,Spain
Modibo Sagnan,modibo sagnan,m,modibo,sagnan,Centre-Back,Defender,2430000.0,1999-04-14,1999,4,21,France
Aihen Muñoz,aihen munoz,a,aihen,munoz,Left-Back,Defender,3600000.0,1997-08-16,1997,8,23,Spain
Nacho Monreal,nacho monreal,n,nacho,monreal,Left-Back,Defender,2880000.0,1986-02-26,1986,2,34,Spain
Kévin Rodrigues,kevin rodrigues,k,kevin,rodrigues,Left-Back,Defender,2160000.0,1994-03-05,1994,3,26,Portugal
Joseba Zaldua,joseba zaldua,j,joseba,zaldua,Right-Back,Defender,10800000.0,1992-06-24,1992,6,28,Spain
Andoni Gorosabel,andoni gorosabel,a,andoni,gorosabel,Right-Back,Defender,1440000.0,1996-08-04,1996,8,24,Spain
Alex Sola,alex sola,a,alex,sola,Right-Back,Defender,405000.0,1999-06-09,1999,6,21,Spain
Igor Zubeldia,igor zubeldia,i,igor,zubeldia,Defensive Midfield,Midfielder,21600000.0,1997-03-30,1997,3,23,Spain
Asier Illarramendi,asier illarramendi,a,asier,illarramendi,Defensive Midfield,Midfielder,13050000.0,1990-03-08,1990,3,30,Spain
Mikel Merino,mikel merino,m,mikel,merino,Central Midfield,Midfielder,31500000.0,1996-06-22,1996,6,24,Spain
Ander Guevara,ander guevara,a,ander,guevara,Central Midfield,Midfielder,5400000.0,1997-07-07,1997,7,23,Spain
Jon Guridi,jon guridi,j,jon,guridi,Central Midfield,Midfielder,900000.0,1995-02-28,1995,2,25,Spain
Martín Zubimendi,martin zubimendi,m,martin,zubimendi,Central Midfield,Midfielder,225000.0,1999-02-02,1999,2,21,Spain
David Silva,david silva,d,david,silva,Attacking Midfield,Midfielder,10800000.0,1986-01-08,1986,1,34,Spain
Luca Sangalli,luca sangalli,l,luca,sangalli,Attacking Midfield,Midfielder,2160000.0,1995-02-10,1995,2,25,Spain
Mikel Oyarzabal,mikel oyarzabal,m,mikel,oyarzabal,Left Winger,Forward,54000000.0,1997-04-21,1997,4,23,Spain
Ander Barrenetxea,ander barrenetxea,a,ander,barrenetxea,Left Winger,Forward,8100000.0,2001-12-27,2001,12,18,Spain
Martín Merquelanz,martin merquelanz,m,martin,merquelanz,Left Winger,Forward,1800000.0,1995-06-12,1995,6,25,Spain
Portu,portu,p,portu,portu,Right Winger,Forward,14400000.0,1992-05-21,1992,5,28,Spain
Adnan Januzaj,adnan januzaj,a,adnan,januzaj,Right Winger,Forward,8550000.0,1995-02-05,1995,2,25,Belgium
Willian José,willian jose,w,willian,jose,Centre-Forward,Forward,21600000.0,1991-11-23,1991,11,28,Brazil
Alexander Isak,alexander isak,a,alexander,isak,Centre-Forward,Forward,20250000.0,1999-09-21,1999,9,20,Sweden
Jon Bautista,jon bautista,j,jon,bautista,Centre-Forward,Forward,1260000.0,1995-07-03,1995,7,25,Spain
Jasper Cillessen,jasper cillessen,j,jasper,cillessen,Goalkeeper,Goalkeeper,10800000.0,1989-04-22,1989,4,31,Netherlands
Jaume Doménech,jaume domenech,j,jaume,domenech,Goalkeeper,Goalkeeper,5400000.0,1990-11-05,1990,11,29,Spain
Gabriel Paulista,gabriel paulista,g,gabriel,paulista,Centre-Back,Defender,15750000.0,1990-11-26,1990,11,29,Brazil
Mouctar Diakhaby,mouctar diakhaby,m,mouctar,diakhaby,Centre-Back,Defender,13500000.0,1996-12-19,1996,12,23,France
Eliaquim Mangala,eliaquim mangala,e,eliaquim,mangala,Centre-Back,Defender,5400000.0,1991-02-13,1991,2,29,France
Hugo Guillamón,hugo guillamon,h,hugo,guillamon,Centre-Back,Defender,4500000.0,2000-01-31,2000,1,20,Spain
José Gayà,jose gaya,j,jose,gaya,Left-Back,Defender,36000000.0,1995-05-25,1995,5,25,Spain
Álex Centelles,alex centelles,a,alex,centelles,Left-Back,Defender,4500000.0,1999-08-30,1999,8,21,Spain
Toni Lato,toni lato,t,toni,lato,Left-Back,Defender,1440000.0,1997-11-21,1997,11,22,Spain
Daniel Wass,daniel wass,d,daniel,wass,Right-Back,Defender,9900000.0,1989-05-31,1989,5,31,Denmark
Cristiano Piccini,cristiano piccini,c,cristiano,piccini,Right-Back,Defender,5400000.0,1992-09-26,1992,9,27,Italy
Thierry Correia,thierry correia,t,thierry,correia,Right-Back,Defender,2430000.0,1999-03-09,1999,3,21,Portugal
Geoffrey Kondogbia,geoffrey kondogbia,g,geoffrey,kondogbia,Central Midfield,Midfielder,20250000.0,1993-02-15,1993,2,27,Central African Republic
Uros Racic,uros racic,u,uros,racic,Central Midfield,Midfielder,5400000.0,1998-03-17,1998,3,22,Serbia
Àlex Carbonell,alex carbonell,a,alex,carbonell,Central Midfield,Midfielder,293000.0,1997-09-15,1997,9,22,Spain
Carlos Soler,carlos soler,c,carlos,soler,Right Midfield,Midfielder,36000000.0,1997-01-02,1997,1,23,Spain
Kang-in Lee,kang-in lee,k,kang-in,lee,Attacking Midfield,Midfielder,12150000.0,2001-02-19,2001,2,19,"Korea, South"
Gonçalo Guedes,goncalo guedes,g,goncalo,guedes,Left Winger,Forward,20250000.0,1996-11-29,1996,11,23,Portugal
Denis Cheryshev,denis cheryshev,d,denis,cheryshev,Left Winger,Forward,4320000.0,1990-12-26,1990,12,29,Russia
Manu Vallejo,manu vallejo,m,manu,vallejo,Left Winger,Forward,4320000.0,1997-02-14,1997,2,23,Spain
Álex Blanco,alex blanco,a,alex,blanco,Left Winger,Forward,405000.0,1998-12-16,1998,12,21,Spain
Jason,jason,j,jason,jason,Right Winger,Forward,4320000.0,1994-07-06,1994,7,26,Spain
Maxi Gómez,maxi gomez,m,maxi,gomez,Centre-Forward,Forward,28800000.0,1996-08-14,1996,8,24,Uruguay
Kévin Gameiro,kevin gameiro,k,kevin,gameiro,Centre-Forward,Forward,5850000.0,1987-05-09,1987,5,33,France
Rubén Sobrino,ruben sobrino,r,ruben,sobrino,Centre-Forward,Forward,2160000.0,1992-06-01,1992,6,28,Spain
Sergio Asenjo,sergio asenjo,s,sergio,asenjo,Goalkeeper,Goalkeeper,8550000.0,1989-06-28,1989,6,31,Spain
Pau Torres,pau torres,p,pau,torres,Centre-Back,Defender,27000000.0,1997-01-16,1997,1,23,Spain
Ramiro Funes Mori,ramiro funes mori,r,ramiro,mori,Centre-Back,Defender,4320000.0,1991-03-05,1991,3,29,Argentina
Raúl Albiol,raul albiol,r,raul,albiol,Centre-Back,Defender,2880000.0,1985-09-04,1985,9,34,Spain
Soufiane Chakla,soufiane chakla,s,soufiane,chakla,Centre-Back,Defender,720000.0,1993-09-02,1993,9,26,Morocco
Alfonso Pedraza,alfonso pedraza,a,alfonso,pedraza,Left-Back,Defender,8550000.0,1996-04-09,1996,4,24,Spain
Alberto Moreno,alberto moreno,a,alberto,moreno,Left-Back,Defender,5400000.0,1992-07-05,1992,7,28,Spain
Jaume Costa,jaume costa,j,jaume,costa,Left-Back,Defender,2880000.0,1988-03-18,1988,3,32,Spain
Rubén Peña,ruben pena,r,ruben,pena,Right-Back,Defender,5850000.0,1991-07-18,1991,7,29,Spain
Mario Gaspar,mario gaspar,m,mario,gaspar,Right-Back,Defender,5400000.0,1990-11-24,1990,11,29,Spain
Francis Coquelin,francis coquelin,f,francis,coquelin,Defensive Midfield,Midfielder,12600000.0,1991-05-13,1991,5,29,France
Dani Parejo,dani parejo,d,dani,parejo,Central Midfield,Midfielder,18000000.0,1989-04-16,1989,4,31,Spain
Manu Trigueros,manu trigueros,m,manu,trigueros,Central Midfield,Midfielder,10800000.0,1991-10-17,1991,10,28,Spain
Vicente Iborra,vicente iborra,v,vicente,iborra,Central Midfield,Midfielder,5400000.0,1988-01-16,1988,1,32,Spain
Manu Morlanes,manu morlanes,m,manu,morlanes,Central Midfield,Midfielder,1620000.0,1999-01-12,1999,1,21,Spain
Moi Gómez,moi gomez,m,moi,gomez,Left Winger,Forward,8100000.0,1994-06-23,1994,6,26,Spain
Javi Ontiveros,javi ontiveros,j,javi,ontiveros,Left Winger,Forward,6300000.0,1997-09-09,1997,9,22,Spain
Takefusa Kubo,takefusa kubo,t,takefusa,kubo,Right Winger,Forward,27000000.0,2001-06-04,2001,6,19,Japan
Samu Chukwueze,samu chukwueze,s,samu,chukwueze,Right Winger,Forward,24300000.0,1999-05-22,1999,5,21,Nigeria
Dani Raba,dani raba,d,dani,raba,Right Winger,Forward,1440000.0,1995-10-29,1995,10,24,Spain
Gerard Moreno,gerard moreno,g,gerard,moreno,Centre-Forward,Forward,27000000.0,1992-04-07,1992,4,28,Spain
Paco Alcácer,paco alcacer,p,paco,alcacer,Centre-Forward,Forward,25200000.0,1993-08-30,1993,8,27,Spain
Carlos Bacca,carlos bacca,c,carlos,bacca,Centre-Forward,Forward,2160000.0,1986-09-08,1986,9,33,Colombia
Fer Niño,fer nino,f,fer,nino,Centre-Forward,Forward,810000.0,2000-10-24,2000,10,19,Spain
Joel Robles,joel robles,j,joel,robles,Goalkeeper,Goalkeeper,5400000.0,1990-06-17,1990,6,30,Spain
Dani Martín,dani martin,d,dani,martin,Goalkeeper,Goalkeeper,3600000.0,1998-07-08,1998,7,22,Spain
Marc Bartra,marc bartra,m,marc,bartra,Centre-Back,Defender,12600000.0,1991-01-15,1991,1,29,Spain
Aïssa Mandi,aissa mandi,a,aissa,mandi,Centre-Back,Defender,10800000.0,1991-10-22,1991,10,28,Algeria
Sidnei,sidnei,s,sidnei,sidnei,Centre-Back,Defender,7200000.0,1989-08-23,1989,8,31,Brazil
Álex Moreno,alex moreno,a,alex,moreno,Left-Back,Defender,9000000.0,1993-06-08,1993,6,27,Spain
Emerson,emerson,e,emerson,emerson,Right-Back,Defender,22500000.0,1999-01-14,1999,1,21,Brazil
Martín Montoya,martin montoya,m,martin,montoya,Right-Back,Defender,5850000.0,1991-04-14,1991,4,29,Spain
Francis Guerrero,francis guerrero,f,francis,guerrero,Right-Back,Defender,2160000.0,1996-03-11,1996,3,24,Spain
William Carvalho,william carvalho,w,william,carvalho,Defensive Midfield,Midfielder,14400000.0,1992-04-07,1992,4,28,Portugal
Guido Rodríguez,guido rodriguez,g,guido,rodriguez,Defensive Midfield,Midfielder,7200000.0,1994-04-12,1994,4,26,Argentina
Edgar González,edgar gonzalez,e,edgar,gonzalez,Defensive Midfield,Midfielder,720000.0,1997-04-01,1997,4,23,Spain
Víctor Camarasa,victor camarasa,v,victor,camarasa,Central Midfield,Midfielder,3600000.0,1994-05-28,1994,5,26,Spain
Andrés Guardado,andres guardado,a,andres,guardado,Central Midfield,Midfielder,2880000.0,1986-09-28,1986,9,33,Mexico
Wilfrid Kaptoum,wilfrid kaptoum,w,wilfrid,kaptoum,Central Midfield,Midfielder,2160000.0,1996-07-07,1996,7,24,Cameroon
Nabil Fekir,nabil fekir,n,nabil,fekir,Attacking Midfield,Midfielder,28800000.0,1993-07-18,1993,7,27,France
Sergio Canales,sergio canales,s,sergio,canales,Attacking Midfield,Midfielder,18000000.0,1991-02-16,1991,2,29,Spain
Diego Lainez,diego lainez,d,diego,lainez,Left Winger,Forward,5400000.0,2000-06-09,2000,6,20,Mexico
Cristian Tello,cristian tello,c,cristian,tello,Left Winger,Forward,4320000.0,1991-08-11,1991,8,29,Spain
Juanjo Narváez,juanjo narvaez,j,juanjo,narvaez,Left Winger,Forward,495000.0,1995-02-12,1995,2,25,Colombia
Juanmi,juanmi,j,juanmi,juanmi,Right Winger,Forward,3600000.0,1993-05-20,1993,5,27,Spain
Joaquín,joaquin,j,joaquin,joaquin,Right Winger,Forward,1440000.0,1981-07-21,1981,7,39,Spain
Aitor Ruibal,aitor ruibal,a,aitor,ruibal,Right Winger,Forward,1350000.0,1996-03-22,1996,3,24,Spain
Loren Morón,loren moron,l,loren,moron,Centre-Forward,Forward,14400000.0,1993-12-30,1993,12,26,Spain
